Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
shiny,/usr/local/lib/R/site-library,1.10.0,NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.3.2), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.6.0), cachem (>= 1.1.0), lifecycle (>= 0.2.0)",NA,"coro (>= 1.1.0), datasets, DT, Cairo (>= 1.5-5), testthat (>=
3.0.0), knitr (>= 1.6), markdown, rmarkdown, ggplot2, reactlog
(>= 1.0.0), magrittr, yaml, future, dygraphs, ragg, showtext,
sass",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.4.0
showtext,/usr/local/lib/R/site-library,0.9-7,NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)",grDevices,NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,Apache License (>= 2.0),NA,NA,NA,NA,yes,4.4.0
showtextdb,/usr/local/lib/R/site-library,3.0,NA,NA,"sysfonts (>= 0.7), utils",NA,curl,NA,Apache License (>= 2.0),NA,NA,NA,NA,no,4.4.0
sourcetools,/usr/local/lib/R/site-library,0.1.7-1,NA,R (>= 3.0.2),NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
stringi,/usr/local/lib/R/site-library,1.8.4,NA,R (>= 3.4),"tools, utils, stats",NA,NA,NA,file LICENSE,yes,NA,NA,NA,yes,4.4.0
stringr,/usr/local/lib/R/site-library,1.5.1,NA,R (>= 3.6),"cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs (>= 0.4.0)",NA,"covr, dplyr, gt, htmltools, htmlwidgets, knitr, rmarkdown,
testthat (>= 3.0.0), tibble",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
sys,/usr/local/lib/R/site-library,3.4.3,NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
sysfonts,/usr/local/lib/R/site-library,0.8.9,NA,NA,NA,NA,"curl, jsonlite",NA,GPL-2,NA,NA,NA,NA,yes,4.4.0
systemfonts,/usr/local/lib/R/site-library,1.2.1,NA,R (>= 3.2.0),"grid, jsonlite, lifecycle, tools, utils",cpp11 (>= 0.2.1),"covr, farver, graphics, knitr, rmarkdown, testthat (>= 2.1.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
testthat,/usr/local/lib/R/site-library,3.2.3,NA,R (>= 3.6.0),"brio (>= 1.1.3), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.2), digest (>= 0.6.33), evaluate (>= 1.0.1), jsonlite (>=
1.8.7), lifecycle (>= 1.0.3), magrittr (>= 2.0.3), methods,
pkgload (>= 1.3.2.1), praise (>= 1.0.0), processx (>= 3.8.2),
ps (>= 1.7.5), R6 (>= 2.5.1), rlang (>= 1.1.1), utils, waldo
(>= 0.6.0), withr (>= 3.0.2)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr,
rmarkdown, rstudioapi, S7, shiny, usethis, vctrs (>= 0.1.0),
xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
textshaping,/usr/local/lib/R/site-library,1.0.0,NA,R (>= 3.2.0),"lifecycle, stats, stringi, systemfonts (>= 1.1.0), utils","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, grDevices, grid, knitr, rmarkdown, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
tibble,/usr/local/lib/R/site-library,3.2.1,NA,R (>= 3.4.0),"fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
tidyr,/usr/local/lib/R/site-library,1.3.1,NA,R (>= 3.6),"cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)",cpp11 (>= 0.4.0),"covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
tidyselect,/usr/local/lib/R/site-library,1.2.1,NA,R (>= 3.4),"cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.5.2), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
tidyverse,/usr/local/lib/R/site-library,2.0.0,NA,R (>= 3.3),"broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
timechange,/usr/local/lib/R/site-library,0.3.0,NA,R (>= 3.3),NA,cpp11 (>= 0.2.7),"testthat (>= 0.7.1.99), knitr",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
tinytex,/usr/local/lib/R/site-library,0.56,NA,NA,xfun (>= 0.48),NA,"testit, rstudioapi",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
tzdb,/usr/local/lib/R/site-library,0.4.0,NA,R (>= 3.5.0),NA,cpp11 (>= 0.4.2),"covr, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
urlchecker,/usr/local/lib/R/site-library,1.0.1,NA,R (>= 3.3),"cli, curl, tools, xml2",NA,covr,NA,GPL-3,NA,NA,NA,NA,no,4.4.0
usethis,/usr/local/lib/R/site-library,3.1.0,NA,R (>= 3.6),"cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.2), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.1.0), rprojroot (>= 1.2), rstudioapi, stats, tools,
utils, whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, pkgload (>= 1.3.2.1), rmarkdown,
roxygen2 (>= 7.1.2), spelling (>= 1.2), styler (>= 1.2.0),
testthat (>= 3.1.8)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
utf8,/usr/local/lib/R/site-library,1.2.4,NA,R (>= 2.10),NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,Apache License (== 2.0) | file LICENSE,NA,NA,NA,NA,yes,4.4.0
uuid,/usr/local/lib/R/site-library,1.2-1,NA,R (>= 2.9.0),NA,NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
V8,/usr/local/lib/R/site-library,6.0.1,NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils",Rcpp,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
vctrs,/usr/local/lib/R/site-library,0.6.5,NA,R (>= 3.5.0),"cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
viridisLite,/usr/local/lib/R/site-library,0.4.2,NA,R (>= 2.10),NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
vroom,/usr/local/lib/R/site-library,1.6.5,NA,R (>= 3.6),"bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
waldo,/usr/local/lib/R/site-library,0.6.1,NA,R (>= 4.0),"cli, diffobj (>= 0.3.4), glue, methods, rlang (>= 1.1.0)",NA,"bit64, R6, S7, testthat (>= 3.0.0), withr, xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
webfakes,/usr/local/lib/R/site-library,1.3.2,NA,R (>= 3.6),"stats, tools, utils",NA,"brotli, callr, covr, curl, digest, glue, httpuv, httr,
jsonlite, processx, testthat (>= 3.0.0), withr, xml2, zip (>=
2.3.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
whisker,/usr/local/lib/R/site-library,0.4.1,NA,NA,NA,NA,markdown,NA,GPL-3,NA,NA,NA,NA,no,4.4.0
withr,/usr/local/lib/R/site-library,3.0.2,NA,R (>= 3.6.0),"graphics, grDevices",NA,"callr, DBI, knitr, methods, rlang, rmarkdown (>= 2.12),
RSQLite, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
xfun,/usr/local/lib/R/site-library,0.51,NA,R (>= 3.2.0),"grDevices, stats, tools",NA,"testit, parallel, codetools, methods, rstudioapi, tinytex (>=
0.30), mime, litedown (>= 0.4), commonmark, knitr (>= 1.47),
remotes, pak, rhub, renv, curl, xml2, jsonlite, magick, yaml,
qs, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
xml2,/usr/local/lib/R/site-library,1.3.7,NA,R (>= 3.6.0),"cli, methods, rlang (>= 1.1.0)",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 3.2.0), xslt",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
xopen,/usr/local/lib/R/site-library,1.0.1,NA,R (>= 3.1),processx,NA,"ps, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
xtable,/usr/local/lib/R/site-library,1.8-4,NA,R (>= 2.10.0),"stats, utils",NA,"knitr, plm, zoo, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
xts,/usr/local/lib/R/site-library,0.14.1,NA,"R (>= 3.6.0), zoo (>= 1.7-12)",methods,zoo,"timeSeries, timeDate, tseries, chron, tinytest",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
yaml,/usr/local/lib/R/site-library,2.3.10,NA,NA,NA,NA,RUnit,NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
zip,/usr/local/lib/R/site-library,2.3.2,NA,NA,NA,NA,"covr, pillar, processx, R6, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
zoo,/usr/local/lib/R/site-library,1.8-13,NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tinyplot, tis,
tseries, xts",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
base,/usr/local/lib/R/library,4.4.3,base,NA,NA,NA,methods,"chron, date, round",Part of R 4.4.3,NA,NA,NA,NA,NA,4.4.3
boot,/usr/local/lib/R/library,1.3-31,recommended,"R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,Unlimited,NA,NA,NA,NA,no,4.4.3
class,/usr/local/lib/R/library,7.3-23,recommended,"R (>= 3.0.0), stats, utils",MASS,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.3
cluster,/usr/local/lib/R/library,2.1.8,recommended,R (>= 3.5.0),"graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc",GPL (>= 2),NA,NA,NA,NA,yes,4.4.3
codetools,/usr/local/lib/R/library,0.2-20,recommended,R (>= 2.1),NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,4.4.3
compiler,/usr/local/lib/R/library,4.4.3,base,NA,NA,NA,NA,NA,Part of R 4.4.3,NA,NA,NA,NA,NA,4.4.3
datasets,/usr/local/lib/R/library,4.4.3,base,NA,NA,NA,NA,NA,Part of R 4.4.3,NA,NA,NA,NA,NA,4.4.3
foreign,/usr/local/lib/R/library,0.8-88,recommended,R (>= 4.0.0),"methods, utils, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.3
graphics,/usr/local/lib/R/library,4.4.3,base,NA,grDevices,NA,NA,vcd,Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
grDevices,/usr/local/lib/R/library,4.4.3,base,NA,NA,NA,KernSmooth,NA,Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
grid,/usr/local/lib/R/library,4.4.3,base,NA,"grDevices, utils",NA,NA,NA,Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
KernSmooth,/usr/local/lib/R/library,2.23-26,recommended,"R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,Unlimited,NA,NA,NA,NA,yes,4.4.3
lattice,/usr/local/lib/R/library,0.22-6,recommended,R (>= 4.0.0),"grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron, zoo",GPL (>= 2),NA,NA,NA,NA,yes,4.4.3
MASS,/usr/local/lib/R/library,7.3-64,recommended,"R (>= 4.4.0), grDevices, graphics, stats, utils",methods,NA,"lattice, nlme, nnet, survival",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.3
Matrix,/usr/local/lib/R/library,1.7-2,recommended,"R (>= 4.4), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc, tools","SparseM, graph",GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,4.4.3
methods,/usr/local/lib/R/library,4.4.3,base,NA,"utils, stats",NA,codetools,NA,Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
mgcv,/usr/local/lib/R/library,1.9-1,recommended,"R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.3
nlme,/usr/local/lib/R/library,3.1-167,recommended,R (>= 3.6.0),"graphics, stats, utils, lattice",NA,"MASS, SASmixed",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.3
nnet,/usr/local/lib/R/library,7.3-20,recommended,"R (>= 3.0.0), stats, utils",NA,NA,MASS,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.3
parallel,/usr/local/lib/R/library,4.4.3,base,NA,"tools, compiler",NA,methods,"snow, Rmpi",Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
rpart,/usr/local/lib/R/library,4.1.24,recommended,"R (>= 2.15.0), graphics, stats, grDevices",NA,NA,survival,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.3
spatial,/usr/local/lib/R/library,7.3-18,recommended,"R (>= 3.0.0), graphics, stats, utils",NA,NA,MASS,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.3
splines,/usr/local/lib/R/library,4.4.3,base,NA,"graphics, stats",NA,"Matrix, methods",NA,Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
stats,/usr/local/lib/R/library,4.4.3,base,NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4","Kendall, coin, multcomp, pcaPP, pspearman, robustbase",Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
stats4,/usr/local/lib/R/library,4.4.3,base,NA,"graphics, methods, stats",NA,NA,NA,Part of R 4.4.3,NA,NA,NA,NA,NA,4.4.3
survival,/usr/local/lib/R/library,3.8-3,recommended,R (>= 3.5.0),"graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,LGPL (>= 2),NA,NA,NA,NA,yes,4.4.3
tcltk,/usr/local/lib/R/library,4.4.3,base,NA,utils,NA,NA,NA,Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
tools,/usr/local/lib/R/library,4.4.3,base,NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun, mathjaxr, V8",NA,Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
utils,/usr/local/lib/R/library,4.4.3,base,NA,NA,NA,"methods, xml2, commonmark, knitr, jsonlite",NA,Part of R 4.4.3,NA,NA,NA,NA,yes,4.4.3
